prey,predator,iteration,,prey,predator,,,prey,predator,iteration,,prey,predator,iteration,,prey,predator,,,prey,predator,,,prey,predator,,,prey,predator,,,prey,predator,iteration,,prey,predator,iteration
389,85,0,,396,99,,,388,97,0,,404,84,0,,380,90,,,414,82,,,388,91,,,388,91,,,380,101,0,,411,83,0
380,85,1,,395,99,,,385,97,1,,398,84,1,,373,90,,,406,82,,,384,91,,,384,91,,,375,101,1,,406,83,1
378,85,2,,388,99,,,379,97,2,,395,84,2,,366,90,,,404,82,,,380,91,,,380,91,,,371,101,2,,401,83,2
376,85,3,,381,99,,,374,97,3,,392,84,3,,363,90,,,403,82,,,374,91,,,374,91,,,370,101,3,,400,83,3
374,85,4,,378,99,,,378,97,4,,393,84,4,,361,90,,,403,82,,,371,91,,,371,91,,,365,101,4,,401,83,4
377,85,5,,388,99,,,384,97,5,,410,84,5,,361,90,,,412,82,,,377,91,,,377,91,,,375,101,5,,417,83,5
396,85,6,,413,99,,,424,97,6,,422,84,6,,364,94,,,439,82,,,404,91,,,404,91,,,377,101,6,,437,83,6
436,85,7,,440,99,,,457,97,7,,470,84,7,,405,96,,,506,82,,,445,91,,,445,91,,,421,104,7,,482,83,7
446,89,8,,489,104,,,491,97,8,,506,84,8,,456,96,,,561,82,,,507,91,,,507,91,,,467,104,8,,533,83,8
489,89,9,,542,109,,,558,100,9,,560,85,9,,491,96,,,617,82,,,562,91,,,562,91,,,504,104,9,,591,83,9
528,89,10,,579,113,,,596,105,10,,602,85,10,,503,111,,,671,82,,,591,93,,,591,93,,,529,104,10,,639,96,10
563,89,11,,592,113,,,623,109,11,,644,79,11,,552,112,,,711,86,,,637,94,,,637,94,,,571,109,11,,682,95,11
585,96,12,,621,112,,,647,109,12,,685,87,12,,574,113,,,714,92,,,686,95,,,686,95,,,601,111,12,,718,94,12
634,100,13,,681,118,,,680,111,13,,711,98,13,,596,112,,,743,91,,,714,93,,,714,93,,,625,109,13,,749,93,13
641,99,14,,705,124,,,682,115,14,,712,103,14,,614,118,,,766,92,,,734,96,,,734,96,,,656,110,14,,776,97,14
664,99,15,,739,124,,,698,118,15,,761,107,15,,624,118,,,793,91,,,774,95,,,774,95,,,686,114,15,,788,94,15
689,99,16,,768,126,,,711,125,16,,780,106,16,,647,130,,,820,96,,,792,102,,,792,102,,,708,118,16,,810,97,16
714,78,17,,796,102,,,738,97,17,,808,84,17,,676,112,,,854,74,,,837,80,,,837,80,,,737,81,17,,851,84,17
734,71,18,,845,93,,,769,94,18,,852,81,18,,687,106,,,896,61,,,874,72,,,874,72,,,737,75,18,,860,84,18
731,79,19,,858,99,,,798,91,19,,874,83,19,,697,103,,,932,63,,,886,69,,,886,69,,,735,77,19,,859,84,19
741,79,20,,858,102,,,803,89,20,,848,92,20,,709,127,,,925,65,,,921,65,,,921,65,,,743,81,20,,858,84,20
726,89,21,,850,105,,,819,98,21,,830,97,21,,723,130,,,928,67,,,941,63,,,941,63,,,736,90,21,,884,84,21
743,87,22,,885,111,,,840,99,22,,836,109,22,,739,138,,,913,70,,,943,67,,,943,67,,,758,88,22,,912,84,22
784,86,23,,898,116,,,899,91,23,,870,107,23,,783,137,,,971,70,,,1019,60,,,1019,60,,,809,81,23,,996,84,23
804,88,24,,972,109,,,944,85,24,,899,105,24,,815,132,,,1005,70,,,1093,56,,,1093,56,,,872,79,24,,1026,84,24
851,75,25,,1021,117,,,975,89,25,,967,93,25,,835,128,,,1062,64,,,1167,44,,,1167,44,,,929,70,25,,1101,84,25
927,66,26,,1092,108,,,1021,82,26,,1017,106,26,,877,135,,,1148,58,,,1234,40,,,1234,40,,,978,72,26,,1119,84,26
1003,71,27,,1148,112,,,1069,83,27,,1058,117,27,,923,136,,,1236,60,,,1311,38,,,1311,38,,,1047,76,27,,1173,97,27
1045,77,28,,1223,115,,,1128,81,28,,1081,122,28,,951,131,,,1286,57,,,1364,37,,,1364,37,,,1100,76,28,,1212,96,28
1123,81,29,,1288,119,,,1187,85,29,,1115,124,29,,1021,128,,,1352,53,,,1458,36,,,1458,36,,,1150,73,29,,1281,95,29
1179,78,30,,1362,127,,,1270,89,30,,1176,133,30,,1054,128,,,1421,55,,,1505,36,,,1505,36,,,1201,73,30,,1352,94,30
1210,77,31,,1402,129,,,1335,93,31,,1221,129,31,,1104,127,,,1490,54,,,1590,36,,,1590,36,,,1213,73,31,,1419,98,31
1252,90,32,,1448,129,,,1368,89,32,,1233,133,32,,1138,126,,,1542,52,,,1697,39,,,1697,39,,,1296,75,32,,1533,95,32
1275,90,33,,1547,131,,,1448,104,33,,1238,143,33,,1229,135,,,1636,59,,,1736,39,,,1736,39,,,1362,79,33,,1620,98,33
1331,94,34,,1625,138,,,1514,95,34,,1274,152,34,,1278,128,,,1673,63,,,1800,36,,,1800,36,,,1459,84,34,,1661,85,34
1411,93,35,,1688,157,,,1549,94,35,,1320,155,35,,1340,124,,,1774,63,,,1917,38,,,1917,38,,,1526,82,35,,1739,85,35
1460,103,36,,1714,164,,,1653,99,36,,1358,154,36,,1376,124,,,1871,71,,,2028,38,,,2028,38,,,1582,88,36,,1816,85,36
1565,104,37,,1773,171,,,1696,100,37,,1407,156,37,,1399,131,,,1964,70,,,2147,37,,,2147,37,,,1635,98,37,,1894,85,37
1674,110,38,,1835,186,,,1760,111,38,,1446,164,38,,1432,124,,,2183,68,,,2211,37,,,2211,37,,,1708,99,38,,1944,85,38
1737,108,39,,1914,182,,,1833,114,39,,1510,167,39,,1476,134,,,2294,66,,,2313,39,,,2313,39,,,1770,106,39,,2025,85,39
1784,124,40,,1961,181,,,1912,119,40,,1581,180,40,,1538,135,,,2385,79,,,2420,40,,,2420,40,,,1831,103,40,,2169,85,40
1902,135,41,,2077,193,,,1964,135,41,,1630,191,41,,1557,140,,,2482,83,,,2539,38,,,2539,38,,,1891,109,41,,2229,85,41
2004,136,42,,2166,203,,,2012,137,42,,1653,190,42,,1645,138,,,2619,82,,,2653,32,,,2653,32,,,1957,110,42,,2350,85,42
2073,139,43,,2254,201,,,2051,138,43,,1727,205,43,,1679,154,,,2752,81,,,2743,30,,,2743,30,,,2053,114,43,,2422,85,43
2170,138,44,,2310,204,,,2112,147,44,,1773,210,44,,1755,169,,,2917,82,,,2863,33,,,2863,33,,,2136,116,44,,2538,98,44
2256,139,45,,2379,229,,,2112,153,45,,1810,225,45,,1824,165,,,3021,89,,,3022,40,,,3022,40,,,2269,129,45,,2628,97,45
2314,147,46,,2455,238,,,2184,156,46,,1897,223,46,,1887,174,,,3139,97,,,3151,44,,,3151,44,,,2368,136,46,,2740,96,46
2446,157,47,,2499,240,,,2308,165,47,,1946,246,47,,1928,176,,,3229,95,,,3297,41,,,3297,41,,,2430,139,47,,2804,95,47
2517,159,48,,2572,266,,,2417,165,48,,2001,243,48,,1992,189,,,3348,93,,,3354,43,,,3354,43,,,2498,146,48,,2911,99,48
2569,168,49,,2623,277,,,2456,178,49,,2068,245,49,,2019,188,,,3470,99,,,3463,50,,,3463,50,,,2562,161,49,,2950,96,49
2682,161,50,,2666,285,,,2469,193,50,,2106,251,50,,2034,188,,,3553,104,,,3592,51,,,3592,51,,,2619,163,50,,3051,99,50
2724,172,51,,2721,307,,,2516,196,51,,2160,257,51,,2055,199,,,3629,110,,,3643,54,,,3643,54,,,2650,172,51,,3158,86,51
2820,195,52,,2735,303,,,2558,193,52,,2206,279,52,,2089,202,,,3757,121,,,3739,57,,,3739,57,,,2723,172,52,,3218,86,52
2872,199,53,,2768,306,,,2644,208,53,,2256,294,53,,2110,201,,,3909,129,,,3806,58,,,3806,58,,,2760,168,53,,3296,86,53
2975,205,54,,2821,318,,,2677,220,54,,2281,320,54,,2209,217,,,3963,129,,,3962,58,,,3962,58,,,2787,171,54,,3374,86,54
3025,208,55,,2823,318,,,2697,230,55,,2318,332,55,,2291,219,,,4122,143,,,4066,62,,,4066,62,,,2861,178,55,,3488,86,55
3141,215,56,,2849,327,,,2741,235,56,,2366,349,56,,2327,230,,,4189,166,,,4207,63,,,4207,63,,,2887,187,56,,3461,86,56
3242,222,57,,2867,345,,,2793,247,57,,2390,375,57,,2388,237,,,4213,179,,,4252,67,,,4252,67,,,2920,193,57,,3495,86,57
3277,224,58,,2847,372,,,2899,252,58,,2402,385,58,,2425,248,,,4252,186,,,4331,84,,,4331,84,,,2931,207,58,,3545,86,58
3356,229,59,,2900,380,,,2962,263,59,,2451,402,59,,2434,269,,,4275,191,,,4449,95,,,4449,95,,,2975,221,59,,3577,86,59
3425,235,60,,2891,405,,,3022,269,60,,2478,414,60,,2483,279,,,4285,207,,,4510,101,,,4510,101,,,3023,229,60,,3647,86,60
3465,238,61,,2886,432,,,3101,286,61,,2509,422,61,,2494,286,,,4251,213,,,4563,101,,,4563,101,,,3017,269,61,,3706,99,61
3473,244,62,,2853,452,,,3093,306,62,,2501,443,62,,2490,297,,,4251,224,,,4623,103,,,4623,103,,,3073,276,62,,3714,98,62
3495,260,63,,2830,469,,,3077,313,63,,2470,458,63,,2514,300,,,4236,232,,,4618,118,,,4618,118,,,3085,282,63,,3730,97,63
3528,271,64,,2821,478,,,3066,321,64,,2452,485,64,,2525,311,,,4191,243,,,4712,121,,,4712,121,,,3090,284,64,,3762,96,64
3634,280,65,,2782,484,,,3089,322,65,,2522,481,65,,2505,346,,,4156,252,,,4792,119,,,4792,119,,,3093,293,65,,3827,100,65
3675,291,66,,2732,485,,,3105,340,66,,2525,508,66,,2521,370,,,4107,264,,,4804,128,,,4804,128,,,3143,289,66,,3818,97,66
3675,288,67,,2729,523,,,3101,361,67,,2486,539,67,,2532,371,,,4112,272,,,4828,133,,,4828,133,,,3141,313,67,,3835,100,67
3724,308,68,,2735,534,,,3087,376,68,,2443,550,68,,2548,383,,,4004,277,,,4806,147,,,4806,147,,,3103,312,68,,3873,87,68
3706,330,69,,2723,554,,,3070,387,69,,2425,575,69,,2596,400,,,3942,298,,,4873,150,,,4873,150,,,3078,332,69,,3896,87,69
3640,321,70,,2658,555,,,3041,412,70,,2413,593,70,,2581,403,,,3873,302,,,4839,156,,,4839,156,,,3135,328,70,,3909,87,70
3679,343,71,,2625,572,,,3056,423,71,,2423,615,71,,2555,414,,,3775,332,,,4832,161,,,4832,161,,,3128,336,71,,3891,87,71
3665,374,72,,2597,610,,,2999,444,72,,2361,625,72,,2594,410,,,3719,360,,,4869,183,,,4869,183,,,3088,340,72,,3949,87,72
3672,390,73,,2508,614,,,2992,456,73,,2317,658,73,,2599,427,,,3666,378,,,4831,203,,,4831,203,,,3140,368,73,,4012,87,73
3634,396,74,,2490,615,,,2893,485,74,,2275,674,74,,2610,439,,,3646,381,,,4835,207,,,4835,207,,,3154,385,74,,4011,87,74
3566,400,75,,2394,626,,,2838,497,75,,2204,688,75,,2595,461,,,3528,393,,,4800,214,,,4800,214,,,3155,416,75,,3966,87,75
3492,428,76,,2347,624,,,2797,514,76,,2132,705,76,,2607,485,,,3376,411,,,4768,224,,,4768,224,,,3139,429,76,,3996,87,76
3485,432,77,,2305,678,,,2722,536,77,,2048,708,77,,2659,497,,,3325,441,,,4815,229,,,4815,229,,,3142,446,77,,3947,87,77
